fs_id,player_id,event_id,time,utc_time,date,utc_date,pitcher,pitcher_id,pitcher_id_type,pitcher_hand,pitcher_team,batter,batter_id,batter_id_type,batter_hand,batter_team,pitch_set,pitch_type,pitch_call,pitch_velocity,pitch_release_vertical,pitch_release_horizontal,spin_rate,pitch_spin_direction,pitch_tilt,release_height,release_side,extension,break_vertical,break_induced_vertical,break_horizontal,strike_zone_height,strike_zone_side,plate_speed,approach_angle_vertical,approach_angle_horizontal,pitch_time,exit_speed,launch_angle_vertical,launch_angle_horizontal,carry,hit_track_distance,flight_time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,guid,px,pz,pitch_strike_zone_front,strike_zone_top,strike_zone_bottom,pitch_spin_tilt_hours,pitch_spin_tilt_minutes,hit_ball_startposition,hit_ball_landing_position,pitch_poly_x,pitch_poly_y,pitch_poly_z,hit_poly_x,hit_poly_y,hit_poly_z,strike_zone_position,pitch_count,plate_appearance,batted_ball_type,hit_landing_side,hit_landing_forward,inning,inning_half,runners_on,balls,strikes,outs,runs,errors,client_id,created_at,updated_at
288,1206,142,11:39:17,16:39:17,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Alexander Melo  (#392),12295178,-,R,MW Marlins,WU,FA,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,77.29,25,-13.04,268.2,16.46,3.38,0,0,0,0,0,0,0,0,0,0,0,{0431847B-72AD-4759-AD35-E8AD23970750},0,0,-; -; -,0,0,0,0,-0.59; 3.29; 2.31,-61.16; 264.65; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,-0.59; -23.18; 1.56; 0.00; 0.00,3.29; 100.09; -6.75; 0.00; 0.00,2.31; 47.90; -17.02; 0.79; 0.00,0,11,1,LD,-61.16,264.65,0,0,0,0,0,0,0,-,1,,
289,1206,142,11:39:24,16:39:24,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Alexander Melo  (#392),12295178,-,R,MW Marlins,WU,FA,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,79.98,-4.87,-25.13,33.84,20.52,0.3,0,0,0,0,0,0,0,0,0,0,0,{4A51A00D-6D9D-4D5E-BF01-5F8271DB2F27},0,0,-; -; -,0,0,0,0,0.83; 0.60; 2.50,-12.50; 31.70; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.83; -49.63; 17.06; 0.00; 0.00,0.60; 105.82; -6.45; 0.00; 0.00,2.50; -9.96; 5.36; 0.00; 0.00,0,12,1,GB,-12.5,31.7,0,0,0,0,0,0,0,-,1,,
290,1206,142,11:39:47,16:39:47,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,127.46,-31.76,-5.13,7,8.76,0.05,0,0,0,0,0,0,0,0,0,0,0,{DEBD0F71-26E8-4090-B859-C2BC4CA7D3CD},0,0,-; -; -,0,0,0,0,1.30; 1.57; 4.55,0.88; 8.56; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,1.30; -14.22; 111.33; 0.00; 0.00,1.57; 158.30; -105.11; 0.00; 0.00,4.55; -98.41; -34.90; 0.00; 0.00,0,13,1,GB,0.88,8.56,0,0,0,0,0,0,0,-,1,,
291,1206,142,11:39:52,16:39:52,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{F9778334-32FB-4C99-90D7-A70D5DF60EBA},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,14,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
292,1206,142,11:39:56,16:39:56,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,133.37,-11.51,12.95,4.77,24.04,0.03,0,0,0,0,0,0,0,0,0,0,0,{1C3EEA5C-87A4-479A-BE1D-A3379FE96D42},0,0,-; -; -,0,0,0,0,1.82; -3.05; 2.29,1.00; 1.65; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,1.82; 42.95; -2625.38; 0.00; 0.00,-3.05; 186.80; -601.84; 0.00; 0.00,2.29; -39.03; -1591.21; 0.00; 0.00,0,15,1,GB,1,1.65,0,0,0,0,0,0,0,-,1,,
293,1206,142,11:40:06,16:40:06,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,112.92,32.05,3.74,496.8,24.21,5.5,0,0,0,0,0,0,0,0,0,0,0,{96F07BEA-399E-4C2F-8013-B90C632EC46E},0,0,-; -; -,0,0,0,0,2.30; 1.51; 3.76,34.89; 497.28; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,2.30; 9.15; -0.59; 0.00; 0.00,1.51; 140.07; -9.07; 0.00; 0.00,3.76; 87.90; -21.67; 1.01; 0.00,0,16,1,FB,34.89,497.28,0,0,0,0,0,0,0,-,1,,
294,1206,142,11:40:18,16:40:18,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{3B59CB03-7B74-448E-A443-7BB0D6180C83},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,17,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
295,1206,142,11:40:25,16:40:25,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{3F1EC883-F425-4ED5-958C-0E08C2C64865},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,18,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
296,1206,142,11:40:29,16:40:29,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{6E855AA0-5889-45A6-B067-3D75B6FE8A16},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,19,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
297,1206,142,11:40:34,16:40:34,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{86DF8C60-FDBB-4951-90CB-7A3601E20C5E},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,20,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
298,1206,142,11:40:41,16:40:41,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,130.11,-0.25,-10.25,12.36,16.26,0.07,0,0,0,0,0,0,0,0,0,0,0,{58AD13AD-BAF9-423F-8DD0-FD5BFFDA5DC5},0,0,-; -; -,0,0,0,0,0.60; -6.20; 3.39,-0.12; 6.13; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.60; -33.95; 334.40; 0.00; 0.00,-6.20; 187.78; -213.07; 0.00; 0.00,3.39; -0.82; -650.99; 0.00; 0.00,0,21,1,GB,-0.12,6.13,0,0,0,0,0,0,0,-,1,,
299,1206,142,11:40:54,16:40:54,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Colton Hutchison  (#214),12295165,-,R,MW Marlins,WU,UI,UI,45.87,-0.02,1.09,2010,104.72,9:30,5.52,-0.52,8.9,-40.55,1.18,-9.29,25.47,-3.98,43.84,-12.89,-1.91,0.47,0,0,0,0,0,0,6.77,1.73,-0.4,33.8,5.5,-1,-46.1,0.53,7.13,10.1,-30.3,{242D3219-2F11-49CA-B5F8-B590D29585DC},-3.98,25.47,-3.98; 17.01; 25.47,47.24,19.69,9,30,-; -; -,-; -; -,-0.52; -1.28; 3.57; 0.00; 0.00,32.11; -67.43; 5.07; 0.00; 0.00,5.51; -0.02; -15.17; 0.00; 0.00,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,7,22,1,-,0,0,0,0,0,0,0,0,0,-,1,,
